fecha_de_registro,tipo_divorcio,el_nacionalidad,el_f_nacimiento,el_loc_nacimiento,el_mpo_nacimiento,el_edo_nacimiento,el_pais_nacimiento,el_edad,el_mpo_habita,el_edo_habita,el_pais_habita,el_ingreso,el_ocupacion,el_loc_habita,ella_nacionalidad,ella_f_nacimiento,fecha_de_registro_2,ella_loc_nacimiento,ella_mpo_nacimiento,ella_edo_nacimiento,ella_pais_nacimiento,ella_edad,ella_loc_habita,ella_mpo_habita,ella_edo_habita,ella_pais_habita,ella_ocupacion,ella_ingreso,fecha,localidad,municipio,entidad_federativa,el_escolaridad,el_trabajo,ella_escolaridad,ella_trabajo,años_matrimonio,meses_matrimonio,num_hijos,custodia
2002-07-10,Voluntario,MEXICANA,21/02/1962,LAS CHOAPAS,LAS CHOAPAS,VERACRUZ,MEXICO,40,LAS CHOAPAS,VERACRUZ,MEXICO,8000,EMPLEADO,LAS CHOAPAS,MEXICANA,12/12/1959,1960-10-24,SAN JOSE,TLACOLULAN,VERACRUZ,MEXICO,42,XALAPA-ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,EMPLEADA,4000,1987-03-28,JILOTEPEC,JILOTEPEC,VERACRUZ,PROFESIONAL,EMPLEADO,PROFESIONAL,EMPLEADO,15,3,1,MADRE
2003-07-10,Voluntario,MEXICANA,01/02/1978,XALAPA - ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,25,XALAPA,VERACRUZ,MEXICO,6000,EMPLEADO,XALAPA-ENRIQUEZ,MEXICANA,06/01/1979,1979-02-20,XALAPA-ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,24,XALAPA-ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,EMPLEADA,6000,2000-12-16,XALAPA,XALAPA,VERACRUZ,PROFESIONAL,EMPLEADO,PROFESIONAL,EMPLEADO,2,6,NA,NA
2003-07-10,Necesario,MEXICANA,31/05/1957,LA GLORIA,PEROTE,VERACRUZ,MEXICO,46,XALAPA,VERACRUZ,MEXICO,3000,EMPLEADO,XALAPA-ENRIQUEZ,MEXICANA,25/08/1957,1958-04-15,XALAPA-ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,45,NA,NA,NA,NA,NA,NA,1992-06-09,XALAPA,XALAPA,VERACRUZ,SECUNDARIA,EMPLEADO,NA,NA,11,1,3,NA
2003-07-10,Necesario,MEXICANA,07/02/1959,POZA RICA,POZA RICA,VERACRUZ,MEXICO,44,NA,NA,NA,10000,EMPLEADO,NA,MEXICANA,20/10/1965,NA,POZA RICA,POZA RICA,VERACRUZ,MEXICO,37,VILLAHERMOSA,VILLAHERMOSA,TABASCO,MEXICO,EMPLEADA,10000,1992-11-13,XALAPA,XALAPA,VERACRUZ,PROFESIONAL,EMPLEADO,PROFESIONAL,EMPLEADO,7,NA,1,MADRE
2006-07-10,Necesario,MEXICANA,07/06/1971,XALAPA - ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,35,XALAPA,VERACRUZ,MEXICO,5000,EMPLEADO,XALAPA-ENRIQUEZ,MEXICANA,16/09/1971,NA,APAZAPAN,APAZAPAN,VERACRUZ,MEXICO,34,XALAPA-ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,EMPLEADA,10000,1999-12-23,XALAPA,XALAPA,VERACRUZ,PREPARATORIA,EMPLEADO,PREPARATORIA,EMPLEADO,6,NA,1,MADRE
2006-07-10,Necesario,MEXICANA,25/08/1949,XALAPA - ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,56,XALAPA,VERACRUZ,MEXICO,10000,ING.,XALAPA-ENRIQUEZ,MEXICANA,17/10/1954,NA,XALAPA-ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,51,XALAPA-ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,LABORES DOMESTICAS,NA,1973-07-15,XALAPA,XALAPA,VERACRUZ,PROFESIONAL,EMPLEADO,PROFESIONAL,NO TRABAJA,33,NA,3,NA
2006-07-10,Voluntario,MEXICANA,26/12/1975,DISTRITO FEDERAL,DISTRITO FEDERAL,DISTRITO FEDERAL,MEXICO,30,NEZAHUALCOYOTL,DISTRITO FEDERAL,MEXICO,10000,EMPLEADO,NEZAHUALCOYOTL,MEXICANA,21/01/1974,1974-03-08,XALAPA-ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,32,XALAPA-ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,SECRETARIA,5000,2004-11-12,XALAPA,XALAPA,VERACRUZ,PREPARATORIA,EMPLEADO,PREPARATORIA,EMPLEADO,1,NA,NA,NA
2006-07-10,Necesario,MEXICANA,05/02/1965,XALAPA - ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,41,XALAPA,VERACRUZ,MEXICO,NA,NA,XALAPA-ENRIQUEZ,MEXICANA,24/08/1965,NA,VERACRUZ,VERACRUZ,VERACRUZ,MEXICO,40,XALAPA-ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,EMPLEADA,NA,1996-02-01,XALAPA,XALAPA,VERACRUZ,PROFESIONAL,NO TRABAJA,PREPARATORIA,EMPLEADO,1,NA,NA,NA
2007-07-10,Necesario,MEXICANA,07/08/1969,DISTRITO FEDERAL,DISTRITO FEDERAL,DISTRITO FEDERAL,MEXICO,37,DISTRITO FEDERAL,DISTRITO FEDERAL,MEXICO,NA,NA,DISTRITO FEDERAL,MEXICANA,NA,NA,DOXEY,TLAXCOAPAN,HIDALGO,MEXICO,42,NA,NA,NA,NA,NA,NA,1994-06-16,XALAPA,XALAPA,VERACRUZ,PROFESIONAL,EMPLEADO,NA,NA,13,NA,NA,NA
2007-07-10,Voluntario,MEXICANA,23/07/1981,"NAOLINCO","NAOLINCO",VERACRUZ,MEXICO,25,XALAPA,VERACRUZ,MEXICO,3000,NA,XALAPA-ENRIQUEZ,MEXICANA,19/05/1980,1980-07-29,XALAPA-ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,27,XALAPA-ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,NA,4000,2004-05-01,"NAOLINCO","NAOLINCO",VERACRUZ,PROFESIONAL,EMPLEADO,PROFESIONAL,EMPLEADO,3,NA,NA,NA
2008-07-10,Necesario,MEXICANA,25/04/1934,VERACRUZ,VERACRUZ,VERACRUZ,MEXICO,74,VERACRUZ,VERACRUZ,MEXICO,3000,COMERCIANTE,VERACRUZ,MEXICANA,10/01/1941,NA,XALAPA-ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,67,SAN ANDRES TUXTLA,SAN ANDRES TUXTLA,VERACRUZ,MEXICO,PENSIONADA,NA,1963-04-26,XALAPA,XALAPA,VERACRUZ,SECUNDARIA,ESTABLECIMIENTO,SECUNDARIA,NO TRABAJA,45,NA,2,NA
2009-07-10,Necesario,MEXICANA,NA,ACATLAN,ACATLAN,VERACRUZ,MEXICO,29,XALAPA,VERACRUZ,MEXICO,3000,EMPLEADO,XALAPA-ENRIQUEZ,MEXICANA,NA,NA,XALAPA-ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,27,XALAPA-ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,EMPLEADO,4300,1996-09-12,XALAPA,XALAPA,VERACRUZ,PREPARATORIA,EMPLEADO,SECUNDARIA,EMPLEADO,13,NA,NA,NA
2009-07-10,Voluntario,MEXICANA,09/10/1974,XALAPA - ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,34,XALAPA,VERACRUZ,MEXICO,3000,TAXISTA,XALAPA-ENRIQUEZ,MEXICANA,30/01/1979,1979-03-29,XALAPA-ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,30,XALAPA-ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,EMPLEADA,3000,1996-07-22,XALAPA,XALAPA,VERACRUZ,SECUNDARIA,EMPLEADO,PROFESIONAL,EMPLEADO,12,7,NA,NA
2009-07-10,Necesario,MEXICANA,11/12/1964,XALAPA - ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,44,XALAPA,VERACRUZ,MEXICO,5000,PROFESOR,XALAPA-ENRIQUEZ,MEXICANA,17/04/1976,NA,XALAPA-ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,33,XALAPA-ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,QUIMICA,3000,2001-01-20,XALAPA,XALAPA,VERACRUZ,PROFESIONAL,EMPLEADO,PROFESIONAL,EMPLEADO,6,NA,1,MADRE
2013-07-10,Necesario,MEXICANA,15/07/1954,XALAPA - ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,58,XALAPA,VERACRUZ,MEXICO,NA,NA,XALAPA-ENRIQUEZ,MEXICANA,15/07/1958,NA,CIUDAD MENDOZA,CIUDAD MENDOZA,VERACRUZ,MEXICO,54,XALAPA-ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,DOCENTE,14000,1982-09-25,XALAPA,XALAPA,VERACRUZ,NA,NA,PROFESIONAL,EMPLEADO,31,NA,2,NA
2013-07-10,Necesario,MEXICANA,19/11/1965,BANDERILLA,BANDERILLA,VERACRUZ,MEXICO,47,BANDERILLA,VERACRUZ,MEXICO,12000,PROFESOR,BANDERILLA,MEXICANA,21/03/1969,NA,MINATITLAN,MINATITLAN,VERACRUZ,MEXICO,44,BANDERILLA,BANDERILLA,VERACRUZ,MEXICO,EDUCADORA,6000,1990-12-21,XALAPA,XALAPA,VERACRUZ,PROFESIONAL,EMPLEADO,PROFESIONAL,EMPLEADO,22,NA,2,NA
2014-07-10,Necesario,MEXICANA,05/11/1984,XALAPA - ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,29,XALAPA,VERACRUZ,MEXICO,NA,EMPLEADO,XALAPA-ENRIQUEZ,MEXICANA,21/09/1987,NA,XALAPA-ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,26,XALAPA-ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,EMPLEADA,NA,2009-06-26,XALAPA,XALAPA,VERACRUZ,PROFESIONAL,NA,PROFESIONAL,NA,2,9,1,MADRE
2001-08-10,Voluntario,MEXICANA,10/06/1977,XALAPA - ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,24,XALAPA,VERACRUZ,MEXICO,1600,EMPLEADO,XALAPA-ENRIQUEZ,MEXICANA,12/03/1976,1977-05-16,PALO GACHO,EMILIANO ZAPATA,VERACRUZ,MEXICO,25,XALAPA-ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,EMPLEADA,1400,1995-11-17,DOS RIOS,EMILIANO ZAPATA,VERACRUZ,PREPARATORIA,EMPLEADO,SECUNDARIA,EMPLEADO,5,8,1,MADRE
2006-08-10,Voluntario,MEXICANA,06/08/1961,XALAPA - ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,44,XALAPA,VERACRUZ,MEXICO,5000,PATRON,XALAPA-ENRIQUEZ,MEXICANA,22/06/1960,1960-07-29,XALAPA-ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,46,XALAPA-ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,EMPLEADA,2100,1981-12-17,XALAPA,XALAPA,VERACRUZ,SECUNDARIA,PATRON O EMPRESARIO,PREPARATORIA,EMPLEADO,16,NA,3,NA
2007-08-10,Necesario,MEXICANA,25/08/1973,XALAPA - ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,33,XALAPA,VERACRUZ,MEXICO,NA,NA,XALAPA-ENRIQUEZ,MEXICANA,15/05/1974,NA,XALAPA-ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,33,XALAPA-ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,NA,NA,1994-11-25,XALAPA,XALAPA,VERACRUZ,PROFESIONAL,NA,PROFESIONAL,EMPLEADO,10,NA,1,NA
2009-08-10,Necesario,MEXICANA,08/05/1960,JUAN MARCOS,ALTOTONGA,VERACRUZ,MEXICO,49,XALAPA,VERACRUZ,MEXICO,8000,EMPLEADO,XALAPA-ENRIQUEZ,MEXICANA,15/05/1964,NA,JUAN MARCOS,ALTOTONGA,VERACRUZ,MEXICO,45,XALAPA-ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,AMA DE CASA,NA,1991-05-08,XALAPA,XALAPA,VERACRUZ,PRIMARIA,EMPLEADO,SIN ESCOLARIDAD,NO TRABAJA,15,NA,6,MADRE
2011-08-10,Voluntario,MEXICANA,20/11/1968,DISTRITO FEDERAL,DISTRITO FEDERAL,DISTRITO FEDERAL,MEXICO,42,XALAPA,VERACRUZ,MEXICO,5000,PROFESOR,XALAPA-ENRIQUEZ,MEXICANA,10/07/1978,1978-12-28,XALAPA-ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,33,XALAPA-ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,INGENIERA,6000,2002-11-16,DISTRITO FEDERAL,DISTRITO FEDERAL,DISTRITO FEDERAL,PROFESIONAL,EMPLEADO,PROFESIONAL,EMPLEADO,9,NA,NA,NA
2011-08-10,Necesario,MEXICANA,08/04/1978,XALAPA - ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,33,XALAPA,VERACRUZ,MEXICO,2500,EMPLEADO,XALAPA-ENRIQUEZ,MEXICANA,09/06/1980,NA,DISTRITO FEDERAL,DISTRITO FEDERAL,DISTRITO FEDERAL,MEXICO,31,XALAPA-ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,EMPLEADA,5000,1998-07-18,XALAPA,XALAPA,VERACRUZ,PREPARATORIA,EMPLEADO,PREPARATORIA,EMPLEADO,12,NA,2,MADRE
2011-08-10,Voluntario,MEXICANA,05/10/1979,EL POZON,MISANTLA,VERACRUZ,MEXICO,31,XALAPA,VERACRUZ,MEXICO,5000,COMERCIANTE,XALAPA-ENRIQUEZ,MEXICANA,26/06/1984,1984-08-02,VERACRUZ,VERACRUZ,VERACRUZ,MEXICO,27,XALAPA-ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,EMPLEADA,5000,2005-10-27,XALAPA,XALAPA,VERACRUZ,PREPARATORIA,EMPLEADO,PREPARATORIA,EMPLEADO,6,NA,NA,NA
2011-08-10,Necesario,MEXICANA,20/08/1965,AGUA DULCE,AGUA DULCE,VERACRUZ,MEXICO,45,XALAPA,VERACRUZ,MEXICO,4850,EMPLEADO,XALAPA-ENRIQUEZ,MEXICANA,12/08/1968,NA,XALAPA-ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,42,XALAPA-ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,AMA DE CASA,NA,1989-06-02,XALAPA,XALAPA,VERACRUZ,PREPARATORIA,EMPLEADO,PREPARATORIA,NO TRABAJA,22,NA,2,NA
2012-08-10,Voluntario,MEXICANA,23/09/1989,XALAPA - ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,22,XALAPA,VERACRUZ,MEXICO,4000,EMPLEADO,XALAPA-ENRIQUEZ,MEXICANA,15/09/1989,1989-10-20,CERRO AZUL,CERRO AZUL,VERACRUZ,MEXICO,22,COATEPEC,COATEPEC,VERACRUZ,MEXICO,ESTUDIANTE,3500,2008-12-12,COATEPEC,COATEPEC,VERACRUZ,PROFESIONAL,EMPLEADO,PROFESIONAL,EMPLEADO,3,7,NA,NA
2012-08-10,Necesario,MEXICANA,25/12/1968,XALAPA - ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,43,XALAPA,VERACRUZ,MEXICO,5000,LIC. EDUCACION FISICA,XALAPA-ENRIQUEZ,MEXICANA,05/02/1973,NA,XALAPA-ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,39,XALAPA-ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,PSICOLOGA,NA,1997-04-05,XALAPA,XALAPA,VERACRUZ,PROFESIONAL,EMPLEADO,PROFESIONAL,EMPLEADO,11,NA,2,MADRE
2001-09-10,Voluntario,MEXICANA,26/07/1952,VERACRUZ,VERACRUZ,VERACRUZ,MEXICO,49,XALAPA,VERACRUZ,MEXICO,6000,EMPLEADO,XALAPA-ENRIQUEZ,MEXICANA,12/02/1956,1962-05-30,TABASCO,TABASCO,TABASCO,MEXICO,45,XALAPA-ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,AMA DE CASA,NA,1987-04-18,MINATITLAN,MINATITLAN,VERACRUZ,PROFESIONAL,EMPLEADO,SECUNDARIA,NO TRABAJA,14,4,1,MADRE
2001-09-10,Voluntario,MEXICANA,19/07/1937,COLIPA,COLIPA,VERACRUZ,MEXICO,64,XALAPA,VERACRUZ,MEXICO,NA,JUBILADO,XALAPA-ENRIQUEZ,MEXICANA,07/11/1943,1943-12-24,COLIPA,COLIPA,VERACRUZ,MEXICO,57,XALAPA-ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,AMA DE CASA,NA,1965-06-26,COLIPA,COLIPA,VERACRUZ,SECUNDARIA,NO TRABAJA,PRIMARIA,NO TRABAJA,36,2,5,NA
2001-09-10,Voluntario,MEXICANA,17/12/1952,XALAPA - ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,48,XALAPA,VERACRUZ,MEXICO,4000,MAESTRO,XALAPA-ENRIQUEZ,MEXICANA,18/10/1953,1963-02-09,SANTA CATALINA,PAPANTLA,VERACRUZ,MEXICO,47,XALAPA-ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,EMPLEADA,10000,1980-07-05,XALAPA,XALAPA,VERACRUZ,PROFESIONAL,EMPLEADO,PROFESIONAL,EMPLEADO,21,1,3,NA
2002-09-10,Voluntario,MEXICANA,15/12/1962,TEOCELO,TEOCELO,VERACRUZ,MEXICO,39,XALAPA,VERACRUZ,MEXICO,1200,EMPLEADO,XALAPA-ENRIQUEZ,MEXICANA,18/02/1967,1967-04-14,XALAPA-ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,35,XALAPA-ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,LABORES DOMESTICAS,NA,1985-07-24,XALAPA,XALAPA,VERACRUZ,PREPARATORIA,EMPLEADO,PREPARATORIA,TRABAJADOR NO REMUNERADO,17,2,3,MADRE
2002-09-10,Voluntario,MEXICANA,22/07/1948,ALTO LUCERO,ALTO LUCERO,VERACRUZ,MEXICO,54,BANDERILLA,VERACRUZ,MEXICO,2600,EMPLEADO,BANDERILLA,MEXICANA,17/09/1956,1956-10-07,MESA DE OCOTILO,ACTOPAN,VERACRUZ,MEXICO,45,XALAPA-ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,LABORES DOMESTICAS,NA,1983-05-10,XALAPA,XALAPA,VERACRUZ,PRIMARIA,EMPLEADO,PRIMARIA,TRABAJADOR NO REMUNERADO,19,4,3,NA
2002-09-10,Voluntario,MEXICANA,12/09/1953,XALAPA - ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,48,XALAPA,VERACRUZ,MEXICO,NA,DESEMPLEADO,XALAPA-ENRIQUEZ,MEXICANA,13/12/1950,NA,EL LENCERO,EMILIANO ZAPATA,VERACRUZ,MEXICO,51,XALAPA-ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,LABORES DOMESTICAS,NA,1976-06-22,XALAPA,XALAPA,VERACRUZ,PROFESIONAL,NO TRABAJA,PRIMARIA,TRABAJADOR NO REMUNERADO,16,2,2,NA
2002-09-10,Necesario,MEXICANA,24/03/1964,XALAPA - ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,38,XALAPA,VERACRUZ,MEXICO,4800,EMPLEADO,XALAPA-ENRIQUEZ,MEXICANA,07/06/1964,NA,MARTINEZ DE LA TORRE,MARTINEZ DE LA TORRE,VERACRUZ,MEXICO,38,XALAPA-ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,LABORES DOMESTICAS,NA,1981-05-07,XALAPA,XALAPA,VERACRUZ,PROFESIONAL,NA,SECUNDARIA,TRABAJADOR NO REMUNERADO,21,5,NA,NA
2003-09-10,Voluntario,MEXICANA,28/12/1971,XALAPA - ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,31,XALAPA,VERACRUZ,MEXICO,3000,EMPLEADO,XALAPA-ENRIQUEZ,MEXICANA,20/09/1972,1972-12-22,XALAPA-ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,30,XALAPA-ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,LABORES DOMESTICAS,NA,1997-06-13,XALAPA,XALAPA,VERACRUZ,PROFESIONAL,EMPLEADO,PROFESIONAL,NO TRABAJA,6,2,1,MADRE
2003-09-10,Voluntario,MEXICANA,20/01/1965,XALAPA - ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,38,XALAPA,VERACRUZ,MEXICO,3500,CHOFER,XALAPA-ENRIQUEZ,MEXICANA,14/09/1964,1964-10-23,CITLALTEPEC,CITLALTEPEC,VERACRUZ,MEXICO,38,XALAPA-ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,MODESTA,12000,1993-08-20,XALAPA,XALAPA,VERACRUZ,PREPARATORIA,TRABAJADOR POR SU PROPIA CUENTA O EN VIA PUBLICA,SECUNDARIA,TRABAJA EN SU VIVIENDA,10,NA,3,MADRE
2003-09-10,Voluntario,MEXICANA,22/07/1951,CIUDAD MADERO,CIUDAD MADERO,TAMAULIPAS,MEXICO,52,COATEPEC,VERACRUZ,MEXICO,10000,ACTOR,COATEPEC,MEXICANA,30/12/1951,1952-02-04,COATZACOALCOS,COATZACOALCOS,VERACRUZ,MEXICO,51,XALAPA-ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,EMPLEADA,5000,1994-08-28,XALAPA,XALAPA,VERACRUZ,PROFESIONAL,TRABAJADOR POR SU PROPIA CUENTA O EN VIA PUBLICA,PROFESIONAL,EMPLEADO,9,NA,NA,NA
2003-09-10,Voluntario,MEXICANA,28/08/1969,XALAPA - ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,34,XALAPA,VERACRUZ,MEXICO,80000,EMPLEADO,XALAPA-ENRIQUEZ,MEXICANA,05/07/1974,1974-08-15,SAN ANDRES TUXTLA,SAN ANDRES TUXTLA,VERACRUZ,MEXICO,29,XALAPA-ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,EMPLEADA,2500,1998-08-07,XALAPA,XALAPA,VERACRUZ,PREPARATORIA,EMPLEADO,PROFESIONAL,EMPLEADO,5,1,1,MADRE
2004-09-10,Voluntario,MEXICANA,06/12/1955,XICO,XICO,VERACRUZ,MEXICO,48,XALAPA,VERACRUZ,MEXICO,2500,JARDINERO,XALAPA-ENRIQUEZ,MEXICANA,20/01/1953,1953-01-20,SINIYUVI,PUTLA,OAXACA,MEXICO,51,XALAPA-ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,LABORES DOMESTICAS,NA,1979-09-23,SAN SEBASTIAN DE APARICIO,SAN SEBASTIAN DE APARICIO,PUEBLA,PRIMARIA,EMPLEADO,PRIMARIA,NO TRABAJA,25,NA,2,NA
2004-09-10,Voluntario,MEXICANA,01/04/1954,TEPETZINTLA,TEPETZINTLA,VERACRUZ,MEXICO,50,XALAPA,VERACRUZ,MEXICO,10000,EMPLEADO,XALAPA-ENRIQUEZ,MEXICANA,04/12/1962,1963-02-11,MIRADORES DEL MAR,EMILIANO ZAPATA,VERACRUZ,MEXICO,41,XALAPA-ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,EMPLEADA,6000,1989-02-18,EMILIANO ZAPATA,EMILIANO ZAPATA,VERACRUZ,PROFESIONAL,EMPLEADO,PREPARATORIA,EMPLEADO,2,NA,2,MADRE
2007-09-10,Necesario,MEXICANA,25/06/1964,XALAPA - ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,43,XALAPA,VERACRUZ,MEXICO,3000,NA,XALAPA-ENRIQUEZ,MEXICANA,29/06/1969,NA,XALAPA-ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,38,XALAPA-ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,NA,3000,1985-02-09,XALAPA,XALAPA,VERACRUZ,PROFESIONAL,EMPLEADO,PROFESIONAL,EMPLEADO,12,NA,2,NA
2007-09-10,Necesario,MEXICANA,22/04/1962,XALAPA - ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,45,XALAPA,VERACRUZ,MEXICO,NA,NA,XALAPA-ENRIQUEZ,MEXICANA,15/11/1976,NA,XALAPA-ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,47,XALAPA-ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,NA,NA,1986-08-23,XALAPA,XALAPA,VERACRUZ,PROFESIONAL,EMPLEADO,PROFESIONAL,EMPLEADO,21,NA,1,NA
2008-09-10,Necesario,MEXICANA,19/02/1949,XALAPA - ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,59,XALAPA,VERACRUZ,MEXICO,8000,MAESTRO,XALAPA-ENRIQUEZ,MEXICANA,20/01/1952,NA,XALAPA-ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,56,XALAPA-ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,MAESTRA,8000,1978-01-14,XALAPA,XALAPA,VERACRUZ,PROFESIONAL,EMPLEADO,PROFESIONAL,EMPLEADO,30,NA,2,NA
2009-09-10,Necesario,MEXICANA,11/02/1966,XALAPA - ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,43,XALAPA,VERACRUZ,MEXICO,6000,EMPLEADO,XALAPA-ENRIQUEZ,MEXICANA,13/12/1970,NA,XALAPA-ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,38,XALAPA-ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,LABORES DOMESTICAS,NA,1990-07-16,XALAPA,XALAPA,VERACRUZ,SECUNDARIA,EMPLEADO,PROFESIONAL,NO TRABAJA,16,NA,2,MADRE
2013-09-10,Voluntario,MEXICANA,09/02/1979,TLALNEPANTLA,TLALNEPANTLA,MEXICO,MEXICO,34,XALAPA,VERACRUZ,MEXICO,5000,EMPLEADO,XALAPA-ENRIQUEZ,MEXICANA,05/01/1976,NA,XALAPA-ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,37,XALAPA-ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,EMPLEADA,5000,2004-01-26,XALAPA,XALAPA,VERACRUZ,PREPARATORIA,EMPLEADO,PROFESIONAL,EMPLEADO,9,NA,NA,NA
2014-09-10,Voluntario,MEXICANA,11/08/1977,XALAPA - ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,37,XALAPA,VERACRUZ,MEXICO,30000,DISEÑADOR GRAFICO,XALAPA-ENRIQUEZ,MEXICANA,25/10/1980,1981-04-14,XALAPA-ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,33,XALAPA-ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,DISEÑADORA GRAFICA,30000,2012-05-12,EMILIANO ZAPATA,EMILIANO ZAPATA,VERACRUZ,PROFESIONAL,EMPLEADO,PROFESIONAL,EMPLEADO,2,NA,NA,NA
2000-10-10,Voluntario,MEXICANA,29/06/1971,ACTOPAN,ACTOPAN,VERACRUZ,MEXICO,29,XALAPA,VERACRUZ,MEXICO,2500,POLICIA,XALAPA-ENRIQUEZ,MEXICANA,24/08/1968,1985-09-24,JALACINGO,JALACINGO,VERACRUZ,MEXICO,32,XALAPA-ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,AMA DE CASA,NA,1998-04-03,XALAPA,XALAPA,VERACRUZ,SECUNDARIA,EMPLEADO,SECUNDARIA,NO TRABAJA,2,NA,NA,NA
